	ID SoloTodo	Categoría	ID Categoría	Subcategoría	Ordenamiento Principal	Ordenamiento Categoría	Modelo	Título personalizado	Descripción personalizada	Ficha personalizada 1	Ficha personalizada 2	Ficha personalizada 3	Foto Principal	Fotos Secundarias	URL LG	MPN Flixmedia
CJ45	36116	Audio	25	Minicomponente		2	CJ45	XBOOM 720W					https://drive.google.com/open?id=1MxRM8DAjMejL8eMfts2yipyOoIvcReds	https://drive.google.com/open?id=1WiHEUgAuFQLj6fcxK56erDBDJR_TcUb9	https://www.lg.com/cl/equipos-de-musica/lg-CJ45	CJ45
CJ87	36115	Audio	25	Minicomponente			CJ87	XBOOM 2350W	2350W de potencia,efectos de luces y sonidos,graba samplers y reproducelos en tus canciones, múltiples efectos DJ, comparte tus mezclas, Karaoke con efectos de voz				https://drive.google.com/open?id=1yUq0TUxnleSO7xb8kn1pyv-T7pyoqSid	https://drive.google.com/open?id=1QuTIhRPyqH4V7tgihJ9tbunZkvNqwKjV	https://www.lg.com/cl/equipos-de-musica/lg-CJ87	CJ87
CJ88	36117	Audio	25	Minicomponente			CJ88	XBOOM 2900W	2900W de potencia, 3 dispositivos de Bluettoth conectados al mismo tiempo,múltiples funciones de DJ, Karaoke, sincronizalo con tu TV LG mediante Bluetooth				https://drive.google.com/open?id=1g9sPIx-wzur1vRXjEHKDv4Qx9iWws8X2	https://drive.google.com/open?id=1a-dKIGdvN7d7fmyptr55vVD7XjoolwEq	https://www.lg.com/cl/equipos-de-musica/lg-CJ88	CJ88
CJ98	36118	Audio	25	Minicomponente			CJ98	XBOOM 3500W					https://drive.google.com/open?id=1MVgC1wgJUk-suv0r3gXFHZAVbwpRmHxS	https://drive.google.com/open?id=1TLRMsY-KKvzwrfDLgdU7S2IjNRImsurH	https://www.lg.com/cl/equipos-de-musica/lg-CJ98	CJ98
CK43	47681	Audio	25	Minicomponente			CK43	Minicomponente 300W					https://drive.google.com/open?id=1YR0wxjoA6PFokWUWa_Ccx_j5XAsvt8ZX	https://drive.google.com/open?id=1AM2Qc-g6UT1YHPWv3wwBQ_lLTwEQqYvo	https://www.lg.com/cl/equipos-de-musica/lg-CK43	CK43
CK99	46490	Audio	25	Minicomponente			CK99	XBOOM 5000W					https://drive.google.com/open?id=1DIZoGbpvi1kkmt7OZO5qiFq9jaWuLgnC	https://drive.google.com/open?id=1h4BbRC9g5eXWFyHdq-XaMMBFJwII_jtJ	https://www.lg.com/cl/equipos-de-musica/lg-CK99	CK99
CM1560	42843	Audio	25	Microcomponente			CM1560	Minicomponente 10W	Bluetooth, 10W de potencia, entrada USB, reproductor de CD				https://drive.google.com/open?id=1vgGz_uHybPSYlgxC_Ap6jwkqsF3tRDzK		https://www.lg.com/cl/equipos-de-musica/lg-CM1560	CM1560
CM2460	42844	Audio	25	Microcomponente			CM2460	Minicomponente 100W	100W de potencia, conexión Bluetooth y puerto USB, sincronización inalámbrica con tu TV LG				https://drive.google.com/open?id=1GwnZdSdagnMzK4Ld_CT_aN3_a8dt8BEk		https://www.lg.com/cl/equipos-de-musica/lg-CM2460	CM2460
CM4350	19653	Audio	25	Minicomponente			CM4350	Minicomponente 260W					https://drive.google.com/open?id=1mTHssYZ0wmgruCVzTczODaprJpKZQOhu	https://drive.google.com/open?id=1--wUfAS7yEIVUfQsezO0RbO9L45NrS1s	https://www.lg.com/cl/equipos-de-musica/lg-CM4350	CM4350
CM9960	25904	Audio	25	Minicomponente			CM9960	Minicomponente 4800W					https://drive.google.com/open?id=1iOosZeOCv8kHLwxEl7QLWJKHCyAZTMBo	https://drive.google.com/open?id=1TAf2PmXfKr1iDMcmMLHmYosm2MsSPMlY	https://www.lg.com/cl/equipos-de-musica/lg-CM9960	CM9960
FH2	36830	Audio	25	Parlante portátil			FH2	XBOOM 50W					https://drive.google.com/open?id=1HFyZkGNUJwUHLzJdIeDXZCLbcGZvXEsf	https://drive.google.com/open?id=1NjLXmiJ9ohTsfuryRlj82wC08ZAcregS	https://www.lg.com/cl/equipos-de-musica/lg-FH2	FH2
FJ7	41125	Audio	25	Minicomponente			FJ7	Minicomponente 400W	400W de potencia, Auto DJ, Karaoke con efectos de voz, hasta 3 dispositivos conectados simultáneamente por Bluetooth				https://drive.google.com/open?id=1NKHfIdUMgo2s5Hh5i9E4IYfxIrvQayK4	https://drive.google.com/open?id=1WUPD_iT4j5sKLbSDrEGWqFSuE34hxM5u		FJ7
SK8	46690	Audio	25	Soundbar			SK8	SoundBar 360W					https://drive.google.com/open?id=1q6a_dXgGaP1JlFELOk4l2Dv5cf4veOOu	https://drive.google.com/open?id=1hcNDliEpshOja0Tai9BanahjDMLRIW-1	https://www.lg.com/cl/audio-hi-fi/lg-SK8	SK8
LHB625M	21324	Audio	25	Home theater			LHB625M	Home Theater 1000W							https://www.lg.com/cl/home-theater/lg-LHB625M	LHB625M
OJ98	36119	Audio	25	Minicomponente			OJ98	Minicomponente One Body Portátil 1800W	1800W de potencia, efecto de luces y sonido, múltiples funciones de DJ, Karaoke con efectos de voces, hasta 3 dispositivos conectados simultáneamente por Bluetooth				https://drive.google.com/open?id=1hW7rF_TlqBCWAp0sX42tB-YGzmLuGPE7	https://drive.google.com/open?id=1c3paihvkl3tGFBCAHOpHMS_kQVkx2-fp	https://www.lg.com/cl/equipos-de-musica/lg-OJ98	OJ98
OK55	45942	Audio	25	Minicomponente		1	OK55	XBOOM 500W					https://drive.google.com/open?id=1jowIEU-MlZzkyQDuGTtrrMrdGQ36fp1G	https://drive.google.com/open?id=1jZy-7dPCIJUArL5zV29hS7c4C2iJCHAO	https://www.lg.com/cl/equipos-de-musica/lg-OK55	OK55
OK75	45944	Audio	25	Minicomponente		3	OK75	Minicomponente 1000W					https://drive.google.com/open?id=1mG2mF7vkpqNrpEtjyu2fwpYKa_2whf6D	https://drive.google.com/open?id=1jztbxByGBtBQmxiuPfvgDcPrIuKsSGum	https://www.lg.com/cl/equipos-de-musica/lg-OK75	OK75
OK99	45946	Audio	25	Minicomponente	8		OK99	XBOOM 1800W					https://drive.google.com/open?id=1YCc64wxB0HDddkA1DdNcaVHTMBygQZSc	https://drive.google.com/open?id=1W_n_C-yKJ95s38N-MM2CRjKaf-XkKIes	https://www.lg.com/cl/equipos-de-musica/lg-OK99	OK99
OM4560	25747	Audio	25	Minicomponente			OM4560	Mini Audio 220W	220W de potencia, Auto DJ, sincronizalo con tu TV LG mediante Bluetooth, Karaoke				https://drive.google.com/open?id=1ofROlAJXVvWdYi0NJ53AiZ-UPcF6mEiO	https://drive.google.com/open?id=18hphxIOcmBnqe2Dry0udwxsHJQfAXYDs	https://www.lg.com/cl/equipos-de-musica/lg-OM4560	OM4560
OM5560	26015	Audio	25	Minicomponente			OM5560	XBOOM 500W					https://drive.google.com/open?id=1kfZphdfFdKQ-i-Cgriim0y3fmDCbG038	https://drive.google.com/open?id=10F9WcT6mG0DQV2gcaSgqAlPByq3Bj2zg	https://www.lg.com/cl/equipos-de-musica/lg-OM5560	OM5560
OM7560	25905	Audio	25	Minicomponente			OM7560	Minicomponente One Body 1000W	Fiesta sin cables, 1000W de potencia, hasta 3 dispositivos conectados simultáneamente por Bluetooth, Auto Music Play				https://drive.google.com/open?id=1RPmJDPLvv7ts9KfCQOquitHl_4MaZprP	https://drive.google.com/open?id=1gFaZUeaTBSI8Mw1tkVVscAxnSQPtX-Bd	https://www.lg.com/cl/equipos-de-musica/lg-OM7560	OM7560
PK3	48266	Audio	25	Parlante portátil			XBOOM GO PK3	Parlante Bluetooth Portátil		Sonido de alta definición	IPX7 resistente al agua (sumergible)	Batería de larga duración 12 hrs	https://drive.google.com/open?id=1tNNkdHI1NdAdI8IcFAca_YfTpn9_cslK	https://drive.google.com/open?id=1lt6MYuY5p3B-pMSbWPZWKtnis0dwTKp8	https://www.lg.com/cl/audio-hi-fi/lg-PK3	PK3
PK5	48003	Audio	25	Parlante portátil			XBOOM GO PK5	Parlante Bluetooth Portátil		Sonido de alta definición	IPX5 Salpicaduras de agua y polvo	Batería de larga duración 18 hrs	https://drive.google.com/open?id=1zFvNOcdBpIw8EaNnNBFoMFK5cj5Bna-t	https://drive.google.com/open?id=1qCj_5UY_DKVhRHOMlOgZds861f6YPDC-	https://www.lg.com/cl/audio-hi-fi/lg-PK5	PK5
PK7	48267	Audio	25	Parlante portátil			XBOOM GO PK7	Parlante Bluetooth Portátil		Sonido de alta definición	IPX5 Salpicaduras de agua y polvo	Batería de larga duración 22 hrs	https://drive.google.com/open?id=15idDA1RjiBYtfkQuP3Vi8dM5TLouFaat	https://drive.google.com/open?id=1-lknhyc_f5IPmcC-i4Hyc6DqHJB05Yw5	https://www.lg.com/cl/audio-hi-fi/lg-PK7	PK7
SJ1	40380	Audio	25	Soundbar			SJ1	SoundBar HI-FI 40W	Diseño delgado y minimalista, radiador pasivo dual, contrólalo con tu control remoto LG				https://drive.google.com/open?id=1kDy8fOQdZ-zNV3hDkMaXtkKci4O5-Q1X	https://drive.google.com/open?id=1VpL4B8JIphGL4qx0Q2PaoHmimjSu9_oS	https://www.lg.com/cl/audio-hi-fi/lg-SJ1	SJ1
SJ2	39255	Audio	25	Soundbar			SJ2	SoundBar HI-FI 160W	Subwoofer inalámbrico, contrólalo con tu control remoto LG				https://drive.google.com/open?id=1QVKoYNRDuuKzGHgWvUzgpB5WoRtplEaa	https://drive.google.com/open?id=1pMvZZYPSIeIrgquMz8qMuchfjQEYO9Z_	https://www.lg.com/cl/audio-hi-fi/lg-SJ2	SJ2
SK1	48004	Audio	25	Soundbar			SK1	SoundBar 40W					https://drive.google.com/open?id=1RWXyD9LWzK48NfvBpiXdJor1LD8A93D8	https://drive.google.com/open?id=1kRK7LvoDK39ndWIl1yOq6pk2UUs6uwTu	https://www.lg.com/cl/audio-hi-fi/lg-SK1	SK1
SK5	47017	Audio	25	Soundbar			SK5	SoundBar 360W					https://drive.google.com/open?id=1TEt_4j0Gg7RXq73jyELcKfJxmulCm5su	https://drive.google.com/open?id=1b5h1lmlnyF1_KVdd0QR3gpnw1Rw1eYcl	https://www.lg.com/cl/audio-hi-fi/lg-SK5	SK5
PH4	37302	Audio	25	Parlante portátil			PH4	Proyector portátil de tiro corto 					https://drive.google.com/open?id=15QOLrVgUk0l1s0yOmohSP5S60nkyC9IT	https://drive.google.com/open?id=0B8k1gHzTJbejTWtUMXZDNFFEbTQ	http://www.lg.com/cl/audio-hi-fi/lg-PH4	PH4
CK57	45941	Audio	25	Minicomponente											https://www.lg.com/cl/equipos-de-musica/lg-CK57	
G7 (Black)	48268	Celulares	6	Smartphone		1	G7 BLACK	Smartphone FullVision 6,1" QHD					https://drive.google.com/open?id=1gBE1XD25vhfA-IzHRM-ar74npCBoziJD	https://drive.google.com/open?id=1jraVMeQPAtJ9xm0FW-_1mMVaoVRliNjO	https://www.lg.com/cl/celular/lg-LMG710EM	
G7 (Platinum)	48269	Celulares	6	Smartphone		2	G7 PLATINUM	Smartphone FullVision 6,1" QHD					https://drive.google.com/open?id=1Eu2r3SZUpc8qeXLuiJBlUk05NDp9Ntrd	https://drive.google.com/open?id=19O1lHdEc2nH2-fR0fayooQ0igsDfepVS	https://www.lg.com/cl/celular/lg-LMG710EM	
G7 (Rose)	48270	Celulares	6	Smartphone		3	G7 ROSE	Smartphone FullVision 6,1" QHD					https://drive.google.com/open?id=16sdUo7M78CqYJWA1RM-7dHRWF69zmn6F	https://drive.google.com/open?id=1KXNowMFvJFcY4vDZxqAIZB_5kn-de7-r	https://www.lg.com/cl/celular/lg-LMG710EM	
Q7 (Aurora Black / Prime)	48274	Celulares	6	Smartphone		4	Q7 AURORA BLACK	Smartphone FullVision 5,5'' Full HD					https://drive.google.com/open?id=1QA5OoBVF9_32dgWfWIEzHwXxOLTPkrmH	https://drive.google.com/open?id=1_Pryd2ZH2e6NpccSb_ih8g5sRWP0YIvb	https://www.lg.com/cl/celular/lg-LMQ610FM	
Q7 (Lavender Violet / Prime)	48275	Celulares	6	Smartphone		5	Q7 LAVENDER VIOLET	Smartphone FullVision 5,5'' Full HD					https://drive.google.com/open?id=163Piu1c24umTO2jDjFZlS9tyPMrC91jX	https://drive.google.com/open?id=1NOQbXXAvoi-h5Os_MZfpgJszforqrtej	https://www.lg.com/cl/celular/lg-LMQ610FM	
Q7 Plus (Q610FA / Aurora Black)	48272	Celulares	6	Smartphone		6	Q7+ AURORA BLACK	Smartphone FullVision 5,5'' Full HD					https://drive.google.com/open?id=1Ev-aCGteWoNcx0cp13nhMjq0KZueL7pN	https://drive.google.com/open?id=1MfGg-Hf4Qu6E9KcZKcNCu5KoKm28LGrd	https://www.lg.com/cl/celular/lg-LMQ610FA	
Q Stylus (Aurora Black / Prime)	48277	Celulares	6	Smartphone	3	6	Q STYLUS AURORA BLACK	Smartphone FullVision 6,2'' Full HD					https://drive.google.com/open?id=1iNKo5kJ-2KpkoRx_Xc6rUCbcM28W73Rw	https://drive.google.com/open?id=1RL796iE5ORwSF03bO1tG3tYFxezBxDUq	https://www.lg.com/cl/celular/lg-LMQ710FM	
Q Stylus Plus (Q710FA / Aurora Black)	48276	Celulares	6	Smartphone		7	Q STYLUS PLUS AURORA BLACK	Smartphone FullVision 6,2'' Full HD					https://drive.google.com/open?id=1Dc0vlj6p6-n4xa_m-vs-4miAVAUXsL8i	https://drive.google.com/open?id=1lRjOCxbL3rFVRdT38OBaJMkfNMwFihxA	https://www.lg.com/cl/celular/lg-LMQ710FA	
K11 Plus (X410FC / Terra Gold)	48283	Celulares	6	Smartphone		8	K11 PLUS TERRA GOLD	Smartphone 5,3" HD					https://drive.google.com/open?id=11wNbPRe4F53FdlIQjDD5c_QlVh4akslk	https://drive.google.com/open?id=1paeaORE42UJKAp0nLHydlXgwrOhJBWQ8	https://www.lg.com/cl/celulares/lg-LMX410FC	
K11 Plus (X410FC / Moroccan Blue)	48281	Celulares	6	Smartphone		9	K11 PLUS MORROCAN BLUE	Smartphone 5,3" HD					https://drive.google.com/open?id=1KzMiZUQQ903SzfSyVH0nTKmQNgGZxcDD	https://drive.google.com/open?id=1pq8dcSi-0geDl-tveesX8OuTy1f_6MDy	https://www.lg.com/cl/celulares/lg-LMX410FC	
K11 (X410FO / Moroccan Blue)	48285	Celulares	6	Smartphone		10	K11 MORROCAN BLUE	Smartphone 5,3" HD					https://drive.google.com/open?id=1028501uWNdlXrxlVlQQEEQNvYWYld0Vb	https://drive.google.com/open?id=1QSrBDIEhHg1Vkozk9XrSXaB31giQERjs	https://www.lg.com/cl/celular/lg-LMX410FO	
K11 (X410FO / Terra Gold)	48286	Celulares	6	Smartphone	4		K11 TERRA GOLD	Smartphone 5,3'' HD					https://drive.google.com/open?id=11Ezb45ovrx1bcSrWTKL7JXsaaWM0MGQm	https://drive.google.com/open?id=1KyHioc2JGkS7CS0CWQhpo6xLrugbBHwy	https://www.lg.com/cl/celular/lg-LMX410FO	
K9 (X210HM / Moroccan Blue)	48279	Celulares	6	Smartphone		11	K9 MOROCCAN BLUE	Smartphone 5,0" HD					https://drive.google.com/open?id=1LqaWxE_uzTBVuDO2VwiLQDsGGhZcvpse	https://drive.google.com/open?id=1xvqvRpEHyjLZ4UMh4jebJm6VTnDc5bdh	https://www.lg.com/cl/celulares/lg-LMX210HM	
K9 (X210HM / Aurora Black)	48278	Celulares	6	Smartphone		12	K9 AURORA BLACK	Smartphone 5,0" HD					https://drive.google.com/open?id=1riw7WVlKmdTpmo3LspiTbSrgXcpiK4Jb	https://drive.google.com/open?id=1T0MzOCKR9uvB8yMNKnnLZKdmXaG_BPDd	https://www.lg.com/cl/celulares/lg-LMX210HM	
G6 (32 GB / Astro Black)	34348	Celulares	6	Smartphone			G6 ASTRO BLACK	Smartphone FullVision 5,7" QHD					https://drive.google.com/open?id=1iNQ8Ba0QsMyBWpWIuNTrCSDiiPte8ng0	https://drive.google.com/open?id=1kbRHTHg7CDapQ3kI3JFaANYwZMiGJeKz	https://www.lg.com/cl/celulares/lg-G6-Blanco	
G6 (32 GB / Ice Platinum)	34344	Celulares	6	Smartphone			G6 ICE PLATINUM	Smartphone FullVision 5,7" QHD					https://drive.google.com/open?id=17JNwrOYymgI1C5GmZLxpalrhTnkrSHzr	https://drive.google.com/open?id=1RkYQMRFYyRlBkunXnxw8MN22_OPLp8In	https://www.lg.com/cl/celulares/lg-G6-Blanco	
G6 (32 GB / Mystic White)	34345	Celulares	6	Smartphone			G6 ICE MYSTIC WHITE	Smartphone FullVision 5,7" QHD					https://drive.google.com/open?id=18zfWZD6H4gn2rYEv5x7Q9EkbiZmMk6jk	https://drive.google.com/open?id=1fmt0TmwGxqn-uf-Eg86gJhfJcZ7dO-6n	https://www.lg.com/cl/celulares/lg-G6-Blanco	
K10 2017 (Dorado)	34349	Celulares	6	Smartphone			K10 GOLD	Smartphone 5,3" HD					https://drive.google.com/open?id=1xOoxWQvefoZem9l8wfZ9n8K77QhQHyf4	https://drive.google.com/open?id=1KMKtdVEthIbi4_QACWxE2p1n-Ahli8RH	https://www.lg.com/cl/celulares/lg-K10-2017-black	
K10 2017 (Negro)	35995	Celulares	6	Smartphone			K10 BLACK	Smartphone 5,3" HD	Cámara para selfies con gran angular de 5 MP. Cámara principal de 13 MP. Productividad mejorada. Captura automática con detección de rostros. Diseño elemental curvo.				https://drive.google.com/open?id=1n-gUKWCBrUXU85Ht_g9ob0kI0CDHEcd3	https://drive.google.com/open?id=15yVWCIyMZmQYECRmv2XUzBT9yG3eqWms	https://www.lg.com/cl/celulares/lg-K10-2017-black	
K10 2017 (Plateado)	37453	Celulares	6	Smartphone			K10 2017 SILVER	Smartphone 5,3'' HD							https://www.lg.com/cl/celulares/lg-K10-2017	
K4 2017 (X230F / Marrón)	36900	Celulares	6	Smartphone			K4 BROWN	Smartphone 5,0" 					https://drive.google.com/open?id=1mOsJiX8y7HEpLqVNmhRFrsFLw0PBiYDx	https://drive.google.com/open?id=1FBm_jNFs-QW9qxbxFgZCxtCUKF52okD_	https://www.lg.com/cl/celulares/lg-LGX230F	
K4 2017 (X230F / Titan)	36538	Celulares	6	Smartphone			K4 TITAN	Smartphone 5,0" 	Cámara principal de 8 MP. Cámara frontal de 5 MP con disparo gestual. Pantalla 5.0" con tecnología In-cell y diseño compacto. Rendimiento mejorado.				https://drive.google.com/open?id=1slX7hNwB_JPE_Bm7jAMG6jC5wXmhBxE9	https://drive.google.com/open?id=1wiMAkqYWoCuDQj2qddacDB1Zac41ixaJ	https://www.lg.com/cl/celulares/lg-LGX230F	
K8 2017 (LGX240F / Negro)	36336	Celulares	6	Smartphone			K8 TITAN	Smartphone 5,0" HD	LG K8 Smartphone con pantalla 5" con tecnología IPS IN-CELL, con cámara 8MP, cristal curvo y diseño redondeado para un mejor agarre y un frontal de tacto más suave				https://drive.google.com/open?id=1DDkVUpF8Xc5UyV9ULPlr_0qR9kUvQwgf	https://drive.google.com/open?id=1E53SYL43LxpsQMz9Kp3KL10xcDoTRbhn	https://www.lg.com/cl/celulares/lg-LGX240F	
K8 2017 (LGX240F / Dorado)	37062	Celulares	6	Smartphone			K8 Dorado	Smartphone 5'' HD					https://drive.google.com/open?id=1DLGtS-Ijay7RqKOkHjVrJEy97knwrHgd	https://drive.google.com/open?id=1IHI9tnjRKaG8LaXSqBqQZ9o49T_ybwcZ	https://www.lg.com/cl/celulares/lg-LGX240F-gold	
Q6 (M700F / Astro Black)	38967	Celulares	6	Smartphone			Q6 ASTRO BLACK	Smartphone FullVision 5,5" HD					https://drive.google.com/open?id=1ZUZQUHyShlEvyVen4roxzi44P4KSSmIM	https://drive.google.com/open?id=1vzIfufpB6SNYAerqVMAcxLhXI0kYzW4S	https://www.lg.com/cl/celulares/lg-Q6-M700F	
Q6 (M700F / Ice Platinum)	39937	Celulares	6	Smartphone			Q6 ICE PLATINUM	Smartphone FullVision 5,5" HD					https://drive.google.com/open?id=1hhoeyNhobFzUFByHAgp-9UndVAyavezs	https://drive.google.com/open?id=15f4WF0trpphQuVn0mH-g3880WHJiMXHj	https://www.lg.com/cl/celulares/lg-Q6-M700F	
Q6 Alpha (M700DSK / Moroccan Blue)	45368	Celulares	6	Smartphone			Q6 ALPHA	Smartphone FullVision 5,5" HD	Pantalla FullVision HD 5,5" pulgadas con menos bordes. Cámara selfie con gran angular de 100°. Cámara principal de 13MP. Reconocimiento facial.				https://drive.google.com/open?id=1u-Qsx63jYNS8FK6wDBhe1VbBQ9h4hg9Y	https://drive.google.com/open?id=1nls4CMdLeNRLjKoISuZzminKCHmQQ1NF	https://www.lg.com/cl/celulares/lg-Q6-M700F	
Stylus 3 (Dorado)	35674	Celulares	6	Smartphone			STYLUS 3 GOLD	Smartphone 5,7" HD					https://drive.google.com/open?id=1GyHqk0kiKbZe1e6wVJ6BYcGLZhM8-zFw	https://drive.google.com/open?id=1GKgl5IYbfiniIPcPNV3FUgdVzFmimMRI	https://www.lg.com/cl/celulares/lg-LGM400F-gold	
Stylus 3 (Titan)	35673	Celulares	6	Smartphone			STYLUS 3 TITANIUM	Smartphone 5,7" HD	Cámara 13 Mp. Lápiz Stylus con punta ultra fina de 1,8 mm. Memoria interna de 16 GB expandible a 256 GB.				https://drive.google.com/open?id=1BeH1hU9JbY_WbMgxc9Kl4SlLtS0zZoYg	https://drive.google.com/open?id=1bTSNxvz8s7wLNIcy5aoGIjsJITggeYNe	https://www.lg.com/cl/celulares/lg-LGM400F-gold	
X Power 2 (Titan)	37666	Celulares	6	Smartphone			XPOWER2 TITAN	Smartphone 5,5" HD	La batería de 4.500Ah dura todo el fin de semana.				https://drive.google.com/open?id=1TxOAepw-4eeD55HUYG1T8L4sOF3tvPHS	https://drive.google.com/open?id=1UuLohsBDcCm71o4SYme41I9OX4fmLA_o	https://www.lg.com/cl/celulares/lg-LGM320F	
K10 (K430N / Blanco)	24666	Celulares	6	Smartphone			K10 Blanco	Smartphone 5,3'' IPS							https://www.lg.com/cl/celulares/lg-K10-Blanco-lgk430t	
K10 (K430N / Negro)	24665	Celulares	6	Smartphone			K10 Negro	Smartphone 5,3'' IPS					https://drive.google.com/open?id=1eizi-L7m9ISQF9xx0_7Ujb9y3uI_l82I	https://drive.google.com/open?id=1eXLIgJjUboLFdqqh-sslUkGnbcRwPjzm	https://www.lg.com/cl/celulares/lg-K10-lgk430t	
G7 Fit (New Aurora Black)	57939	Celulares	6	Smartphone			G7 Fit Black	Smartphone FullVision 6,1" QHD+					https://drive.google.com/open?id=1Mfc7ifok9Rjrn4GSW7hItxYKg5m7ll0q	https://drive.google.com/open?id=1LEz0beo1Yi6iVv8g3hyKU66aUSy4iYsu	https://www.lg.com/cl/celular/lg-LMQ850EA	LMQ850EA
K40 (LMX420 / 32 GB / 2 GB / Black)	61367	Celulares	6	Smartphone			K40	Smartphone 5,7'' HD							https://www.lg.com/cl/celular/lg-LMX420HM	
G7 ThinQ (G710 / New Aurora Black) + LG PK7	54021	Celulares	6	Smartphone											https://www.lg.com/cl/celular/lg-LMG710EM	
K40 (LMX420HM / 32 GB / 2 GB / New Moroccan Blue)	61408	Celulares	6	Smartphone											https://www.lg.com/cl/celular/lg-LMX420HM	
WD9DBS6	39410	Lavado	19	Lavadora y secadora			WD9DBS6	Lavadora Secadora con capacidad total de 9/5 Kilos	Lavadora – Secadora Carga Frontal con Motor Inverter Direct Drive y capacidad total 9 kilos de lavado y 5 kilos de secado				https://drive.google.com/open?id=1E7ru8lFfbeehsxWr2VZXP0K0KspVYPgm	https://drive.google.com/open?id=1QcxRfI6NjokDbBdzSbMiUJIBs3y75MW4	https://www.lg.com/cl/lavadoras/lg-WD9DBS6	WD9DBS6
WD9WB6	38951	Lavado	19	Lavadora y secadora			WD9WB6	Lavadora Secadora con capacidad total de 9/5 Kilos	Lavadora – Secadora Carga Frontal con Motor Inverter Direct Drive y Capacidad Total de 9 kilos de lavado y 5 kilos de secado				https://drive.google.com/open?id=1BZzChxcD3UvbhbCQb8PzK81Xebh9piNH	https://drive.google.com/open?id=1EWlShPXPsbbt83RIQBCSFCGbpruGlI8r	https://www.lg.com/cl/lavadoras/lg-WD9WB6	WD9WB6
WD20VVS6	37175	Lavado	19	Lavadora y secadora			WD20VVS6	Lavadora Secadora con capacidad total de 20/11 Kilos					https://drive.google.com/open?id=1RS8C38Bm56xlm_Cf6gNIh2lppaz4oUzI	https://drive.google.com/open?id=1an6PZ3SUq_imPWdPTZjNkJRewY1jKfuu	https://www.lg.com/cl/lavadoras/lg-WD20VVS6	WD20VVS6
WD22VTS6	35678	Lavado	19	Lavadora y secadora			WD22VTS6	Lavadora Secadora con capacidad total de 22/13 Kilos					https://drive.google.com/open?id=1ADyidWAdKg6-iZS_peRUs98oF6pjagla	https://drive.google.com/open?id=1hcJvq_mjQSHDQnd3_2W_WG491MJ_mFKG	https://www.lg.com/cl/lavadoras/lg-WD22VTS6	WD22VTS6
WM9WB6	38952	Lavado	19	Lavadora carga frontal			WM9WB6	Lavadora Carga Superior con capacidad total de 9 Kilos					https://drive.google.com/open?id=1curZ-YoHcRzSOEpMVGkFzUMVH19ICZyO	https://drive.google.com/open?id=1YNTOLhBoP7jGnrBOzUZTNDEPCYgmx-xz	https://www.lg.com/cl/lavadoras/lg-WM9WB6	WM9WB6
WT13DSB	39684	Lavado	19	Lavadora carga superior			WT13DSB	Lavadora Carga Superior con capacidad total de 13 Kilos					https://drive.google.com/open?id=1Q_y9bYNk8y-22E6bFPiksiougojLzrJg	https://drive.google.com/open?id=1KNkVtrG7EFlgAYmYoucylViOENth1iDm	https://www.lg.com/cl/lavadoras/lg-WT13DSB	WT13DSB
WT13SS6	36539	Lavado	19	Lavadora carga superior			WT13SS6	Lavadora Carga Superior con capacidad total de 12,5 Kilos					https://drive.google.com/open?id=1BzCdYpMnq9U3ddpnSSK62JaYAq9NfZdA	https://drive.google.com/open?id=1wC3CuKY8rpFjr7ZGXQ04vJnHAeWn8aY5	https://www.lg.com/cl/lavadoras/lg-WT13SS6	WT13SS6
WT13VS6	36540	Lavado	19	Lavadora carga superior			WT13VS6	Lavadora Carga Superior con capacidad total de 12,5 Kilos					https://drive.google.com/open?id=1BrcJJ8FJ_FzaXkc_opghmZCYrnGkCWai	https://drive.google.com/open?id=1t3UfOkhd4L0wDJylAE0O_BdAN4776Y4r	https://www.lg.com/cl/lavadoras/lg-WT13VS6	WT13VS6
WT13WSB	39798	Lavado	19	Lavadora carga superior			WT13WSB	Lavadora Carga Superior con capacidad total de 13 Kilos					https://drive.google.com/open?id=15m6bojAHi8qMc1Un_uCYMfzBjq7KPMSa	https://drive.google.com/open?id=1i1wLFVfG2Huhx5LUkqkAM_NKYw23ibi5	https://www.lg.com/cl/lavadoras/lg-WT13WSB	WT13WSB
WT16DSB	37995	Lavado	19	Lavadora carga superior		1	WT16DSB	Lavadora Carga Superior con capacidad total de 16 Kilos	Lavadora de Carga Superior con motor Smart Inverter y capacidad total de 16 kilos				https://drive.google.com/open?id=1rIeE5pBmZEuygGkwqEhjym5LkmJeKozR	https://drive.google.com/open?id=1ApwrKOn2qzxRZao9bNJEx-BycIw8Quiy	https://www.lg.com/cl/lavadoras/lg-WT16DSB	WT16DSB
WT16WSB	37691	Lavado	19	Lavadora carga superior			WT16WSB	Lavadora Carga Superior con capacidad total de 16 Kilos	Lavadora de Carga Superior con motor Smart Inverter y capacidad total de 16 kilos				https://drive.google.com/open?id=16yU_s0R6WmJqAJrMWnGufxUttxw9YhX8	https://drive.google.com/open?id=1PTzX5QfwGCZGiRtwejKn4Zq6DVu7J77L	https://www.lg.com/cl/lavadoras/lg-WT16WSB	WT16WSB
