	ID SoloTodo	Categoría	ID Categoría	Subcategoría	Ordenamiento Principal	Ordenamiento Categoría	Modelo	Título personalizado	Descripción personalizada	Ficha personalizada 1	Ficha personalizada 2	Ficha personalizada 3	Foto Principal	Fotos Secundarias	URL LG	MPN Flixmedia
75UK6570PSA	48610	Televisores	11	UHD 4K		15	75UK6570PSA	SMART TV LED 75" UHD		Tecnología UHD	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=112wr33ozmpPLXrqPvLjY7d1SRjZNg_In	https://drive.google.com/open?id=1_c5fc9shR44CAoYJ6CskStrNATjRWpaP	https://www.lg.com/cl/televisores/lg-75UK6570PSA	75UK6570PSA
86UK6570PSA	45939	Televisores	11	UHD 4K		16	86UK6570	SMART TV LED 86" 4K UHD		Tecnología UHD	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=112wr33ozmpPLXrqPvLjY7d1SRjZNg_In	https://drive.google.com/open?id=1_c5fc9shR44CAoYJ6CskStrNATjRWpaP	https://www.lg.com/cl/televisores/lg-86UK6570PSA	86UK6570PSA
49UK7500PSA	45883	Televisores	11	UHD 4K		17	49UK7500	SMART TV LED 49" 4K UHD		Tecnología UHD	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1gBH_GzBQgLz9vwNnHnoFwvcVTiNETU90	https://drive.google.com/open?id=1rJDcxO8Uf4j0BTaw1oK3yjlWRj1t2AWc	https://www.lg.com/cl/televisores/lg-49UK7500PSA	49UK7500PSA
55UK7500PSA	46297	Televisores	11	UHD 4K		18	55UK7500	SMART TV LED 55" 4K UHD		Tecnología UHD	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1gBH_GzBQgLz9vwNnHnoFwvcVTiNETU90	https://drive.google.com/open?id=1rJDcxO8Uf4j0BTaw1oK3yjlWRj1t2AWc	https://www.lg.com/cl/televisores/lg-55UK7500PSA	55UK7500PSA
65UK7500PSA	46388	Televisores	11	UHD 4K		19	65UK7500	SMART TV LED 65" 4K UHD		Tecnología UHD	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1gBH_GzBQgLz9vwNnHnoFwvcVTiNETU90	https://drive.google.com/open?id=1rJDcxO8Uf4j0BTaw1oK3yjlWRj1t2AWc	https://www.lg.com/cl/televisores/lg-65UK7500PSA	65UK7500PSA
55SK8000PSA	45936	Televisores	11	NANOCELL 4K		20	55SK8000	SMART TV LED 55" Super UHD		Tecnología SUPER UHD y Nano Cell	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1_FaWh6AZMPnXKdfr2qLfzQibvoUALgYp	https://drive.google.com/open?id=1CsAZCZ9os9603xNAwn4yRfc1Rrzrmvcl	https://www.lg.com/cl/televisores/lg-55SK8000PSA	55SK8000PSA
65SK8000PSA	47674	Televisores	11	NANOCELL 4K		21	65SK8000	SMART TV LED 65" Super UHD		Tecnología SUPER UHD y Nano Cell	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1_FaWh6AZMPnXKdfr2qLfzQibvoUALgYp	https://drive.google.com/open?id=1CsAZCZ9os9603xNAwn4yRfc1Rrzrmvcl	https://www.lg.com/cl/televisores/lg-65SK8000PSA	65SK8000PSA
75SK8000PSA	45938	Televisores	11	NANOCELL 4K		22	75SK8000	SMART TV LED 75" Super UHD		Tecnología SUPER UHD y Nano Cell	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=13QDRkfkaWTz3iNWa7uEQA2Ra7hi_F2Gy	https://drive.google.com/open?id=1AHEOyipWz2d8tE-ti3Vbds8ZNnKxVFCK	https://www.lg.com/cl/televisores/lg-75SK8000PSA	75SK8000PSA
55SK8500PSA	46723	Televisores	11	NANOCELL 4K		23	55SK8500	SMART TV LED 55" Super UHD		Tecnología SUPER UHD y Nano Cell	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1s0GPcYInubFfu0aW2SrNAY-7Q7itcsjM	https://drive.google.com/open?id=11GFRZ8US5xYoY0rE2JCbQ-7cMqjIHHGq	https://www.lg.com/cl/televisores/lg-55SK8500PSA	55SK8500PSA
65SK8500PSA	46891	Televisores	11	NANOCELL 4K		24	65SK8500PSA	SMART TV LED 55" Super UHD		Tecnología SUPER UHD y Nano Cell	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1s0GPcYInubFfu0aW2SrNAY-7Q7itcsjM	https://drive.google.com/open?id=11GFRZ8US5xYoY0rE2JCbQ-7cMqjIHHGq	https://www.lg.com/cl/televisores/lg-65SK8500PSA	65SK8500PSA
